id,project_id,title,description,start_date,dateline,status,user_id
e2f267a8-2fb8-46ef-8a3d-b2d057bd5551,e5e9ac6b-8706-42f5-a455-8c36b3250d59,"Design Apparel Collection","Create designs for T-shirts, hoodies, and accessories.",2025-03-05,2025-03-15,"To Do",
7826a89d-ad62-4439-846f-c65cd25ba4ca,e5e9ac6b-8706-42f5-a455-8c36b3250d59,"Find Manufacturing Partner","Locate a supplier for apparel printing.",2025-03-10,2025-03-25,"To Do",
a98714de-cf3e-45d5-9ebf-f0a372f763b8,e5e9ac6b-8706-42f5-a455-8c36b3250d59,"Set Up eCommerce Store","Develop an online store for apparel sales.",2025-03-20,2025-04-05,"To Do",
443a5a44-8ded-4316-b641-0190e0cc45af,e5e9ac6b-8706-42f5-a455-8c36b3250d59,"Create Marketing Campaign","Develop ads for apparel launch.",2025-03-25,2025-04-15,"To Do",
eb91bf5f-5c13-40ae-b20e-dfb47dca3a14,e5e9ac6b-8706-42f5-a455-8c36b3250d59,"Collaborate with Influencers","Send samples to social media influencers.",2025-04-01,2025-04-20,"To Do",
d2c1f1f5-c6bb-4100-89ac-6ed09c572eb8,e5e9ac6b-8706-42f5-a455-8c36b3250d59,"Optimize for Mobile Shopping","Ensure a seamless shopping experience on mobile devices.",2025-04-05,2025-04-25,"To Do",
4b78b068-303a-4b48-99b8-46f86b714379,e5e9ac6b-8706-42f5-a455-8c36b3250d59,"Run Facebook And Instagram Ads","Launch paid promotions for visibility.",2025-04-10,2025-05-05,"To Do",
cbe8c51b-9be1-4869-b921-fdcb22706ff6,e5e9ac6b-8706-42f5-a455-8c36b3250d59,"Analyze Sales Data And Improve","Use analytics to refine the strategy.",2025-05-10,2025-05-30,"To Do",
bd398b89-3422-44a7-877e-ef8d4565a536,79be806a-2dad-45a8-8a45-b1596149c3e5,"Record First Video Series","Shoot the first set of videos.",2025-03-05,2025-03-20,"To Do",
3d3a9feb-9c34-42b9-bb28-38646d9e85e7,79be806a-2dad-45a8-8a45-b1596149c3e5,"Edit And Optimize Videos","Ensure high-quality production.",2025-03-10,2025-03-25,"To Do",
2ca32d6f-d194-42a0-8c21-9c4e8df5e629,79be806a-2dad-45a8-8a45-b1596149c3e5,"Upload And SEO Optimize","Use keywords and descriptions to increase reach.",2025-03-15,2025-04-01,"To Do",
ec4f7bc1-8c15-409f-803b-477b49bf439f,79be806a-2dad-45a8-8a45-b1596149c3e5,"Promote on Social Media","Share content across social platforms.",2025-04-05,2025-04-20,"To Do",
352489cf-0733-4308-9285-3850d9b42758,79be806a-2dad-45a8-8a45-b1596149c3e5,"Monetize And Expand","Explore YouTube ads, memberships, and sponsorships.",2025-04-15,2025-05-10,"To Do",
b4ed878f-1788-4bd7-a580-b5786e1ce00e,3034e776-b045-422c-af4e-2cb7c0555aba,"Plan Course Structure","Outline course modules and lessons.",2025-03-01,2025-03-10,"To Do",
c2bbbe54-9ef7-444a-a41e-3efbef77c038,3034e776-b045-422c-af4e-2cb7c0555aba,"Record Course Videos","Film and edit lessons.",2025-03-05,2025-03-20,"To Do",
409d400c-5b2e-46d5-9262-dc2be299130c,3034e776-b045-422c-af4e-2cb7c0555aba,"Create Course Workbooks","Develop PDFs and quizzes.",2025-03-10,2025-03-25,"To Do",
f2557aba-bfcd-4d6c-8bcc-b32d54534f15,3034e776-b045-422c-af4e-2cb7c0555aba,"Set Up Course Platform","Upload content to Kajabi, Teachable, or Thinkific.",2025-03-15,2025-03-30,"To Do",
5195be4a-be5a-4212-abaa-a10e755cbf93,3034e776-b045-422c-af4e-2cb7c0555aba,"Develop Sales Page","Create an optimized landing page.",2025-03-20,2025-04-05,"To Do",
baac6f47-a24b-4405-88ed-d5f47ef02fad,3034e776-b045-422c-af4e-2cb7c0555aba,"Launch Email Marketing Campaign","Promote the course via email sequences.",2025-04-01,2025-04-15,"To Do",
266a0c06-8a9a-4e6e-812e-7bceadf8d088,3034e776-b045-422c-af4e-2cb7c0555aba,"Run Paid Ads","Advertise course on Facebook And Instagram.",2025-04-05,2025-04-20,"To Do",
1dccbf3f-cca4-401e-9eef-72f8260ce715,3034e776-b045-422c-af4e-2cb7c0555aba,"Monitor Course Analytics","Track student progress and optimize content.",2025-04-10,2025-04-30,"To Do",
385241cd-45f8-4f6a-ba06-69f62b1a8266,6eca55c4-94c7-40f3-89cc-34d62fc90f52,"Create Private Community Group","Set up a Facebook group or Discord server.",2025-03-01,2025-03-10,"To Do",
e46f5b76-bd45-45bc-bd06-905d3a3e1730,6eca55c4-94c7-40f3-89cc-34d62fc90f52,"Develop Engagement Strategy","Plan weekly challenges and discussions.",2025-03-05,2025-03-20,"To Do",
353a5417-1c62-4e57-b792-59508c2aac45,6eca55c4-94c7-40f3-89cc-34d62fc90f52,"Host Live Q&A Sessions","Schedule live events for interaction.",2025-03-10,2025-03-25,"To Do",
7bf0153d-1328-49d9-a0ee-32aee250cf8b,6eca55c4-94c7-40f3-89cc-34d62fc90f52,"Plan Virtual Workshops","Offer exclusive online training.",2025-03-15,2025-03-30,"To Do",
429843af-0e6e-456e-bbfc-7bd9b34e47a0,6eca55c4-94c7-40f3-89cc-34d62fc90f52,"Promote Community Growth","Encourage members to invite friends.",2025-03-20,2025-04-05,"To Do",
2991dc3d-5cfb-4ee1-8498-5d59b0f201dc,6eca55c4-94c7-40f3-89cc-34d62fc90f52,"Create Moderation Guidelines","Define rules for a positive environment.",2025-04-01,2025-04-15,"To Do",
2a12fc70-3725-4e33-a146-3a78c910f306,6eca55c4-94c7-40f3-89cc-34d62fc90f52,"Track Community Engagement","Analyze participation metrics.",2025-04-05,2025-04-20,"To Do",
d33e940d-be04-4613-8b0b-1ca79285c224,571a82ad-be7c-4e66-98ff-9ef7258492fb,"Plan Ad Campaigns","Identify target audiences and platforms.",2025-03-01,2025-03-10,"To Do",
2de4c649-c3c5-4a7d-aacc-947f5db694b7,571a82ad-be7c-4e66-98ff-9ef7258492fb,"Create Ad Creatives","Design visuals and write copy.",2025-03-05,2025-03-20,"To Do",
2d58cd95-9a2f-4055-ad81-b19927966b3e,571a82ad-be7c-4e66-98ff-9ef7258492fb,"Set Up A/B Testing","Test different ad variations.",2025-03-10,2025-03-25,"To Do",
2135aa11-1cd6-4de3-bcba-be05429cfc4a,571a82ad-be7c-4e66-98ff-9ef7258492fb,"Monitor Ad Performance","Analyze click-through rates and conversions.",2025-03-15,2025-03-30,"To Do",
2f8aa7b2-9357-45ff-9707-aa726af9f6a4,94b6d169-7df6-4d93-90a2-5560dd6fad24,"Implement internal linking strategy","Ensure articles link to relevant pages for better SEO.",2025-02-25,2025-03-05,"Done",
15a27e5a-dc70-4a22-ba19-57b5f27bbba9,94b6d169-7df6-4d93-90a2-5560dd6fad24,"Optimize blog post headlines","Use high-converting SEO titles.",2025-03-01,2025-03-15,"In Progress",
06e57517-ad15-4e9f-b536-9e605461a78a,3f9a9db2-10ec-49d3-8667-74a0f5b6f890,"Add blog post category system","Organize blog topics with intuitive navigation.",2025-03-05,2025-03-15,"Done",
b9a01249-497b-4081-a14e-206f88eed3c4,94b6d169-7df6-4d93-90a2-5560dd6fad24,"Monitor and optimize article performance","Track blog metrics and update content.",2025-03-15,2025-04-01,"Coming",
4479201b-e583-46c1-a35b-cd03855c1ce1,94b6d169-7df6-4d93-90a2-5560dd6fad24,"Plan content calendar","Research and outline blog topics.",2025-02-15,2025-02-25,"Done",
77afd45d-a087-4165-bd28-5a91b54e4c97,34e9c6ca-45f8-42bc-b2ee-7e80b0f735c7,"Create brand book","Develop a guideline for typography, color, and design assets.",2025-02-10,2025-02-20,"To Do",
53ce2759-c070-4332-81bd-c3aec7ed8e4d,34e9c6ca-45f8-42bc-b2ee-7e80b0f735c7,"Design social media templates","Create standardized designs for Instagram, Facebook, and YouTube.",2025-02-15,2025-02-25,"To Do",
37ba82d4-8528-4fd4-ad44-3c3b55c3f1ac,34e9c6ca-45f8-42bc-b2ee-7e80b0f735c7,"Develop product packaging design","Create product labels and packaging visuals.",2025-02-18,2025-03-01,"To Do",
e38676e3-0fd8-4a37-8e27-6a6f5ad40823,34e9c6ca-45f8-42bc-b2ee-7e80b0f735c7,"Define brand voice and messaging","Establish tone, storytelling, and writing guidelines.",2025-02-20,2025-03-10,"To Do",
67aa1c1f-4b27-4e18-b65c-aac354f489bb,34e9c6ca-45f8-42bc-b2ee-7e80b0f735c7,"Develop a brand mascot or icon","Create an illustrated symbol representing Shamanicca.",2025-02-25,2025-03-15,"To Do",
c81577f1-e3ed-415a-bac6-355330ca323c,3f9a9db2-10ec-49d3-8667-74a0f5b6f890,"Integrate payment gateway","Set up Stripe or PayPal for online transactions.",2025-02-15,2025-03-05,"To Do",
c46d670a-f127-4805-ae39-30efb80fd155,3f9a9db2-10ec-49d3-8667-74a0f5b6f890,"Develop affiliate marketing system","Implement referral tracking and discount programs.",2025-02-22,2025-03-15,"To Do",
bd67c13d-d25c-49d2-b438-b9d2c05d1936,3f9a9db2-10ec-49d3-8667-74a0f5b6f890,"Set up email capture forms","Integrate newsletter signup pop-ups.",2025-02-25,2025-03-10,"To Do",
6095de55-5f0a-432e-9bcf-7ea2adb50c7,34e9c6ca-45f8-42bc-b2ee-7e80b0f735c7,"Develop logo and branding assets","Create a brand logo, typography, color palette, and icons.",2025-02-05,2025-02-15,"In Progress",
828a5a7d-a711-4eaa-885f-6112622ee811,3f9a9db2-10ec-49d3-8667-74a0f5b6f890,"Develop WordPress site","Build the WordPress-based website with blog and store functionality.",2025-02-10,2025-03-01,"Done",
9088aeeb-de4b-4724-8e36-ccc64995a5c0,3f9a9db2-10ec-49d3-8667-74a0f5b6f890,"Optimize website for SEO","Implement SEO best practices and on-page optimization.",2025-02-20,2025-03-10,"Done",
f1d020bc-df45-4dd5-bda8-92d53a98c8c4,3f9a9db2-10ec-49d3-8667-74a0f5b6f890,"Test website speed And mobile responsiveness","Ensure fast page loads and compatibility on all devices.",2025-03-01,2025-03-20,"Done",
688b3714-2855-4f94-b287-c7b66a46455f,79be806a-2dad-45a8-8a45-b1596149c3e5,"Plan Content Strategy","Define video topics and formats.",2025-03-01,2025-03-10,"To Do",
a6fdf762-f469-4dd5-830c-7e7dc973c9ac,571a82ad-be7c-4e66-98ff-9ef7258492fb,"Optimize Budget Allocation","Shift spending to high-performing ads.",2025-04-01,2025-04-15,"To Do",
d58d43ab-db94-4732-87be-045df91473c1,571a82ad-be7c-4e66-98ff-9ef7258492fb,"Scale Successful Ads","Increase budget for top-performing campaigns.",2025-04-05,2025-04-20,"To Do",
d0b2bf00-a4ec-4a35-b5ae-f70f47314b39,fd79f34a-3541-4dd4-8da1-2dc658841466,"Identify Influencers","Find social media influencers for partnerships.",2025-03-01,2025-03-10,"To Do",
3649a3de-ae2d-42a1-a0bd-1069d4180c1a,fd79f34a-3541-4dd4-8da1-2dc658841466,"Develop Affiliate Program","Create commission-based referral system.",2025-03-05,2025-03-20,"To Do",
b8cffe58-e810-4498-8c43-f44a0c5aa387,fd79f34a-3541-4dd4-8da1-2dc658841466,"Sign Up First Affiliates","Onboard and train affiliate partners.",2025-03-10,2025-03-25,"To Do",
aa183592-8cf8-404f-a339-893a0c7de846,fd79f34a-3541-4dd4-8da1-2dc658841466,"Track Affiliate Sales","Monitor commissions and payouts.",2025-03-15,2025-03-30,"To Do",
2f5dea4b-6709-4d73-a7a0-3312e7a43527,fd79f34a-3541-4dd4-8da1-2dc658841466,"Run Influencer Campaigns","Launch collaborative promotions.",2025-04-01,2025-04-15,"To Do",
04404340-91cf-40eb-9c47-cbad813f9b08,fd79f34a-3541-4dd4-8da1-2dc658841466,"Analyze Performance","Evaluate effectiveness of partnerships.",2025-04-05,2025-04-20,"To Do",
f66c79e7-7325-4118-9c11-1d9524f16a7e,1a3435d0-4740-430c-9766-e81ff5343bae,"Set Up Email Automation","Implement automated email sequences for onboarding and engagement.",2025-03-01,2025-03-10,"To Do",
cedbe587-f3bc-4c70-b5f7-1740cd817c58,1a3435d0-4740-430c-9766-e81ff5343bae,"Create Lead Magnets","Develop free resources (e.g., PDFs, checklists) to grow the email list.",2025-03-05,2025-03-15,"To Do",
e4e96b38-a940-4e7a-bc86-b11d06ccc440,1a3435d0-4740-430c-9766-e81ff5343bae,"Segment Email List","Group subscribers based on interests and behaviors.",2025-03-10,2025-03-20,"To Do",
f6c90213-58fe-4ddb-a865-ab9cebccbb95,1a3435d0-4740-430c-9766-e81ff5343bae,"Develop Weekly Newsletter","Send engaging weekly emails with value-driven content.",2025-03-15,2025-03-25,"To Do",
4e675513-efb0-4043-b002-4defcdf3b9c3,1a3435d0-4740-430c-9766-e81ff5343bae,"A/B Test Email Campaigns","Test subject lines, CTAs, and email formats for better conversions.",2025-03-20,2025-04-01,"To Do",
b5e21463-5c38-4cbc-9c00-6027b823556b,1a3435d0-4740-430c-9766-e81ff5343bae,"Optimize Email Deliverability","Ensure high inbox placement by improving sender reputation.",2025-04-05,2025-04-20,"To Do",
586d71ba-50ac-4871-97fa-b68a9341e362,1a3435d0-4740-430c-9766-e81ff5343bae,"Analyze and Improve Engagement Rates","Track open rates, CTR, and subscriber activity.",2025-04-10,2025-04-30,"To Do",
bcd9502b-812f-4fff-8365-22e19a6dc185,f16d07cf-58da-4048-ae1c-fe0281703da5,"Research Topics and Audience Needs","Identify high-demand topics for digital products.",2025-03-01,2025-03-10,"To Do",
2ff58968-ccea-4ff6-9c1d-d8e1818cbdc9,f16d07cf-58da-4048-ae1c-fe0281703da5,"Create First eBook Draft","Write, design, and format the first eBook.",2025-03-05,2025-03-20,"To Do",
1e04e28b-8bf2-46bf-8f39-303726e4bdf2,f16d07cf-58da-4048-ae1c-fe0281703da5,"Develop Printable PDFs and Checklists","Create visually appealing PDFs as downloadable resources.",2025-03-10,2025-03-25,"To Do",
5e9167fb-1d2a-4347-a54d-7b25b15efa5a,f16d07cf-58da-4048-ae1c-fe0281703da5,"Set Up Online Sales System","Integrate Gumroad, Payhip, or Shopify for digital sales.",2025-03-15,2025-03-30,"To Do",
950a0709-defc-41c7-84a2-e29b75a9718b,f16d07cf-58da-4048-ae1c-fe0281703da5,"Create Promotional Content","Develop marketing assets (videos, social media posts, ads).",2025-03-20,2025-04-10,"To Do",
90c048cb-bb0a-43f8-866d-50ec97369868,f16d07cf-58da-4048-ae1c-fe0281703da5,"Launch and Monitor Sales Performance","Track digital product sales and optimize pricing strategy.",2025-04-05,2025-04-25,"To Do",
3c59d175-bf82-48cf-b92b-aaca038365b5,6b90e7ef-a109-4245-9339-9e4e5849adf7,"Trademark Shamanicca Brand Name and Logo","Register trademarks for brand name and logo.",2025-03-01,2025-03-15,"To Do",
c9b8be4d-38cd-4766-8161-fb0cc166baa1,6b90e7ef-a109-4245-9339-9e4e5849adf7,"Register Copyrights for Digital Products","Ensure legal protection for eBooks, courses, and content.",2025-03-05,2025-03-20,"To Do",
1d8b7575-7d88-4466-9346-ef67b10eea9a,6b90e7ef-a109-4245-9339-9e4e5849adf7,"Develop Terms of Service and Privacy Policy","Draft website policies to comply with legal regulations.",2025-03-10,2025-03-25,"To Do",
c1f1c754-e8d0-4a58-a191-bf9521b909e6,6b90e7ef-a109-4245-9339-9e4e5849adf7,"Secure Contracts for Partnerships and Affiliates","Create agreements for influencers and business partnerships.",2025-03-15,2025-03-30,"To Do",
d3adab58-1179-444a-9a6b-9e82138e84dd,6b90e7ef-a109-4245-9339-9e4e5849adf7,"Monitor and Enforce Intellectual Property Rights","Take action against unauthorized use of brand assets.",2025-04-01,2025-04-15,"To Do",
